"topic","question","format","optionA","optionB","optionC","optionD","correctAnswer","marks","negativeMarks","timeLimitSec","difficulty","tags","explanation","syllabusVersion","objectiveCode","answerValidationMethod","answerValidationReference","distractorReviewNote"
"Shell execution and redirection","In Bash, what does a zero command exit status conventionally indicate?","mcq_single","The process was forcibly killed","Successful completion","A syntax error in every case","Standard output was empty","B","1","0","60","easy","linux,bash,exit-status","Unix commands conventionally use zero for success and nonzero values to distinguish failure conditions.","OCT-GLDW-2026.1","GLDW-SER-01","primary_source","https://www.gnu.org/software/bash/manual/html_node/Exit-Status.html","Author checked all three distractors against GLDW-SER-01 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Shell execution and redirection","Which operator runs the second command only if the first command succeeds?","mcq_single","&&","||",";","&","A","1","0","60","easy","linux,bash,control-operators","The AND list operator evaluates the following command only when the preceding command returns success.","OCT-GLDW-2026.1","GLDW-SER-02","primary_source","https://www.gnu.org/software/bash/manual/html_node/Lists.html","Author checked all three distractors against GLDW-SER-02 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Shell execution and redirection","Which operator runs a fallback command only when the preceding command fails?","mcq_single","|","&&","||",";;","C","1","0","60","easy","linux,bash,control-operators","The OR list operator evaluates the following command when the preceding command returns a nonzero status.","OCT-GLDW-2026.1","GLDW-SER-03","primary_source","https://www.gnu.org/software/bash/manual/html_node/Lists.html","Author checked all three distractors against GLDW-SER-03 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Shell execution and redirection","What does the pipeline command producer | consumer connect?","mcq_single","The standard error of both commands to /dev/null","The exit codes into one integer variable","The filesystems of two servers","The standard output of producer to the standard input of consumer","D","1","0","60","easy","linux,bash,pipeline","A pipe carries producer standard output to consumer standard input unless additional redirection changes the endpoints.","OCT-GLDW-2026.1","GLDW-SER-04","primary_source","https://www.gnu.org/software/bash/manual/html_node/Pipelines.html","Author checked all three distractors against GLDW-SER-04 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Shell execution and redirection","Which redirection replaces report.txt with standard output from a command?","mcq_single","command < report.txt","command >> report.txt","command 2< report.txt","command > report.txt","D","1","0","60","easy","linux,bash,redirection","The > operator opens the output file for writing and truncates it before directing standard output there.","OCT-GLDW-2026.1","GLDW-SER-05","primary_source","https://www.gnu.org/software/bash/manual/html_node/Redirections.html","Author checked all three distractors against GLDW-SER-05 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Shell execution and redirection","Which redirection appends standard output without truncating an existing log file?","mcq_single","command >> app.log","command > app.log","command < app.log","command 2> app.log","A","1","0","60","easy","linux,bash,redirection,logs","The >> operator opens the target in append mode for standard output.","OCT-GLDW-2026.1","GLDW-SER-06","primary_source","https://www.gnu.org/software/bash/manual/html_node/Redirections.html","Author checked all three distractors against GLDW-SER-06 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Shell execution and redirection","Which form sends only standard error from command to errors.log?","mcq_single","command | errors.log","command > errors.log","command < errors.log","command 2> errors.log","D","1","0","60","easy","linux,bash,stderr,redirection","File descriptor 2 is standard error, so 2> redirects that stream.","OCT-GLDW-2026.1","GLDW-SER-07","primary_source","https://www.gnu.org/software/bash/manual/html_node/Redirections.html","Author checked all three distractors against GLDW-SER-07 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Shell execution and redirection","Why should a variable expansion that represents one path usually be quoted as `$path`?","mcq_single","Quoting makes the path executable","Quoting sends the value to standard error","Quoting changes the file owner","Quoting prevents word splitting and pathname expansion of the expanded value","D","1","0","75","medium","linux,bash,quoting,safety","Double quotes preserve the expanded value as one argument while still allowing variable expansion.","OCT-GLDW-2026.1","GLDW-SER-08","primary_source","https://www.gnu.org/software/bash/manual/html_node/Double-Quotes.html","Author checked all three distractors against GLDW-SER-08 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Shell execution and redirection","A script begins with #!/usr/bin/env bash. What role does this first line serve when the file is executed directly?","mcq_single","It changes the current working directory","It grants execute permission","It installs Bash if missing","It selects an interpreter through env","D","1","0","75","medium","linux,bash,shebang","The kernel recognizes the shebang and invokes the specified interpreter mechanism; permissions are managed separately.","OCT-GLDW-2026.1","GLDW-SER-09","primary_source","https://man7.org/linux/man-pages/man2/execve.2.html","Author checked all three distractors against GLDW-SER-09 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Shell execution and redirection","In Bash, what does $(command) do inside another command line?","mcq_single","Redirects command output to a file named $","Runs command and substitutes its standard output","Substitutes the command's process ID","Runs command only after logout","B","1","0","75","medium","linux,bash,command-substitution","Command substitution executes the enclosed command and replaces the construct with its output after trailing newlines are removed.","OCT-GLDW-2026.1","GLDW-SER-10","primary_source","https://www.gnu.org/software/bash/manual/html_node/Command-Substitution.html","Author checked all three distractors against GLDW-SER-10 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Files and permissions","In an ls -l mode string, what does the execute bit on a regular script file allow?","mcq_single","The file can no longer be read","The file is automatically run at boot","The file contents become encrypted","The file may be invoked as a program when other access conditions permit","D","1","0","60","easy","linux,permissions,execute","Execute permission permits program invocation; interpreter availability and directory traversal permissions still matter.","OCT-GLDW-2026.1","GLDW-FPR-01","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/Mode-Structure.html","Author checked all three distractors against GLDW-FPR-01 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Files and permissions","What permissions does chmod 640 notes.txt set for owner, group and others?","mcq_single","Owner read, group write, others execute","Everyone read/write","Owner read/write, group read, others none","Owner execute only, everyone else read","C","1","0","75","medium","linux,chmod,permissions","Octal 6 is read plus write, 4 is read, and 0 grants no permissions.","OCT-GLDW-2026.1","GLDW-FPR-02","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/Numeric-Modes.html","Author checked all three distractors against GLDW-FPR-02 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Files and permissions","Which command changes the owner of build.log to user deploy?","mcq_single","chgrp deploy build.log","chmod deploy build.log","chown deploy build.log","passwd deploy build.log","C","1","0","60","easy","linux,chown,ownership","chown changes file ownership; appropriate privileges are required.","OCT-GLDW-2026.1","GLDW-FPR-03","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/chown-invocation.html","Author checked all three distractors against GLDW-FPR-03 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Files and permissions","A user has read permission on a directory but lacks execute permission on it. What important operation is prevented?","mcq_single","Viewing the current system time","Reading the directory's stored list in every circumstance","Traversing the directory to access entries by name","Changing an unrelated file elsewhere","C","1","0","90","hard","linux,directories,permissions","Directory execute permission controls search or traversal through that directory; read permission controls listing names.","OCT-GLDW-2026.1","GLDW-FPR-04","primary_source","https://man7.org/linux/man-pages/man7/path_resolution.7.html","Author checked all three distractors against GLDW-FPR-04 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Files and permissions","What is a symbolic link?","mcq_single","A second directory entry for the same inode in all cases","A filesystem object that stores a path reference to another location","A compressed copy of a file","A permission rule stored in /etc/passwd","B","1","0","60","easy","linux,filesystem,symlink","A symbolic link contains a pathname that is resolved when accessed and may cross filesystem boundaries.","OCT-GLDW-2026.1","GLDW-FPR-05","primary_source","https://man7.org/linux/man-pages/man7/symlink.7.html","Author checked all three distractors against GLDW-FPR-05 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Files and permissions","Which property distinguishes a hard link from a symbolic link?","mcq_single","A hard link always points by an absolute pathname","A hard link stores a network URL","A hard link can only target directories for ordinary users","A hard link is another directory entry for the same inode","D","1","0","75","medium","linux,filesystem,hard-link","Hard-linked names refer to the same inode and file data, subject to filesystem and directory restrictions.","OCT-GLDW-2026.1","GLDW-FPR-06","primary_source","https://man7.org/linux/man-pages/man2/link.2.html","Author checked all three distractors against GLDW-FPR-06 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Files and permissions","Which command creates parent directories as needed for the path build/output/assets?","mcq_single","cp -f build/output/assets","mkdir -p build/output/assets","touch -r build/output/assets","pwd -p build/output/assets","B","1","0","60","easy","linux,mkdir,filesystem","mkdir -p creates missing parent components and does not fail merely because an existing directory is present.","OCT-GLDW-2026.1","GLDW-FPR-07","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/mkdir-invocation.html","Author checked all three distractors against GLDW-FPR-07 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Files and permissions","A developer wants to copy directory config and its contents to backup/config. Which command expresses that recursive copy?","mcq_single","cat config > backup/config","mv -n config backup/config","ln config backup/config","cp -R config backup/config","D","1","0","60","easy","linux,cp,filesystem","cp -R recursively copies directory contents to the destination.","OCT-GLDW-2026.1","GLDW-FPR-08","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/cp-invocation.html","Author checked all three distractors against GLDW-FPR-08 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Files and permissions","Why is rm -rf with a variable-derived path operationally dangerous?","mcq_single","A missing or unexpected variable value can recursively delete a broader location without prompts","It always changes file ownership before deleting","It sends every deleted file over the network","It can only remove empty directories","A","1","0","75","medium","linux,rm,safety","Recursive forced removal suppresses many safeguards, so scripts must validate and quote any computed target.","OCT-GLDW-2026.1","GLDW-FPR-09","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/rm-invocation.html","Author checked all three distractors against GLDW-FPR-09 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Files and permissions","Which command reports filesystem space usage by mounted filesystems in human-readable units?","mcq_single","du -h .","df -h","ls -h /","free -h","B","1","0","60","easy","linux,df,storage","df reports space usage for filesystems; -h selects human-readable size units.","OCT-GLDW-2026.1","GLDW-FPR-10","primary_source","https://www.gnu.org/software/coreutils/manual/html_node/df-invocation.html","Author checked all three distractors against GLDW-FPR-10 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Processes and services","Which command sends the default termination signal to process ID 4242?","mcq_single","kill 4242","stop 4242","exit 4242","rm /proc/4242","A","1","0","60","easy","linux,processes,signals","kill without an explicit signal sends SIGTERM by default, requesting orderly termination.","OCT-GLDW-2026.1","GLDW-PSV-01","primary_source","https://man7.org/linux/man-pages/man1/kill.1.html","Author checked all three distractors against GLDW-PSV-01 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Processes and services","Why should SIGTERM usually be attempted before SIGKILL?","mcq_single","SIGTERM allows a process to handle shutdown and clean up resources","SIGTERM always executes faster than SIGKILL","SIGKILL can be caught and ignored by the process","SIGTERM permanently prevents the process from restarting","A","1","0","75","medium","linux,signals,shutdown","A process can handle SIGTERM and release resources; SIGKILL cannot be handled and should be reserved for unresponsive cases.","OCT-GLDW-2026.1","GLDW-PSV-02","primary_source","https://man7.org/linux/man-pages/man7/signal.7.html","Author checked all three distractors against GLDW-PSV-02 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Processes and services","Which command gives a continuously updating interactive view of processes on many Linux systems?","mcq_single","whoami","pwd","mount","top","D","1","0","60","easy","linux,processes,monitoring","top periodically displays process activity and system utilization until exited.","OCT-GLDW-2026.1","GLDW-PSV-03","primary_source","https://man7.org/linux/man-pages/man1/top.1.html","Author checked all three distractors against GLDW-PSV-03 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
"Processes and services","What does running a shell command with a trailing & normally do?","mcq_single","Starts it asynchronously in the background of the current shell","Runs it with root privileges","Redirects its standard error","Repeats it until success","A","1","0","60","easy","linux,bash,jobs","The asynchronous list operator starts the command without waiting for it to finish before returning the prompt.","OCT-GLDW-2026.1","GLDW-PSV-04","primary_source","https://www.gnu.org/software/bash/manual/html_node/Lists.html","Author checked all three distractors against GLDW-PSV-04 and the cited primary documentation; each describes a different command, state, stream, or unsafe workflow and is not an alternate correct answer."
